downloadId,eulaCode,url,downloadEntity,entityType
367953588,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221210_20221223_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1ODgsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFwvSENtM1RYcmpFNzI3ZGhMcGpFR0dcL3NNaWdNcnRtRWdiLks2SUp2c2tLNiJ9,LC08_CU_028007_20221210_20221223_02,MTL
367953589,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221210_20221223_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1ODksImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGZzZUtHRW0zOW52eFdcL3A4Q085Zm5xUzNRZS5YUHdpTmpJcXpsUnhNLmo3In0=,LC08_CU_028007_20221210_20221223_02,SR
367953590,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221210_20221223_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1OTAsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJG5xd3BZNTV2bnY2XC9ITFFBdXpXb3V0WTA3UTJvZW81aU5HeE13XC9qXC9ndTIifQ==,LC08_CU_028007_20221210_20221223_02,ST
367953591,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221210_20221223_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1OTEsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJG1UcGhHWFwvTmo4eXZJcnh1b0NwRDZKNW1Wc3p3aTJcL2ZhbVVDQlNadzQ0NCJ9,LC08_CU_028007_20221210_20221223_02,TOA
367953592,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028007_20221210_20221223_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1OTIsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGdVejd2N1lRVzQwXC8xdkdZYi4wREkxZVk3NC5VM3Q1NnJXdG9PMXUxZDE4In0=,LC08_CU_028007_20221210_20221223_02,BT
367953593,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028008_20220921_20221002_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1OTMsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJG1nZmJJU1wvQjZCaUJCRVkzbWl5WDQ2bURwRWpuc25qbmNwbzJPVC5TRy4yIn0=,LC08_CU_028008_20220921_20221002_02,QA
367953594,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028008_20220921_20221002_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1OTQsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGtLQTM1LkFpLndyaWNBWFpSWDlteEVCbTFmXC9DQlRcL3NUWVcycVhaU3ZvMCJ9,LC08_CU_028008_20220921_20221002_02,MTL
367953595,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028008_20220921_20221002_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1OTUsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJG1Pa1hZS09YQktjLmZpOUhsTG5iUXB5emh2elhRSFYyMWMyckV6OGk3bzEifQ==,LC08_CU_028008_20220921_20221002_02,SR
367953596,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028008_20220921_20221002_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1OTYsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHJQWlRaUnguQ3Y4R1FWbW9POER2UTNBWTdsNGZUYjUyb0tETnJQY0VvbjAifQ==,LC08_CU_028008_20220921_20221002_02,ST
367953597,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028008_20220921_20221002_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1OTcsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGFHbkpCeERjSFwvUE5CNm9NajU4V0dGb1FEalRYUkx6NGpMVk5TTnB1Ync1In0=,LC08_CU_028008_20220921_20221002_02,TOA
